Box no.	Date of Collection	Nest_ID	No. of pieces	No. of chambers	No. of chambers1	No. of chambers2	No. of chambers3	No. of chambers4	No. of chambers5	No. of chambers6	No. of chambers7	Damage grade	"Further remarks, notes on the sample"	
"10, Cold room box 1"	04-10-2023	N-8	2	1								2	"S block, blue cap box"	
"10, Cold room box 1"	06-11-2023	N-1	Multiple	-								4	"Schemes section, Phimenez emerged nest, DOE - 7/11/23, blue cap box"	Nov-23
"10, Cold room box 1"	05-12-2023	N-3 (PW)	Multiple	-								4	"Bio sc building 1st floor, (biochem), Nest on door frame and concrete (pot), blue cap box"	Dec-23
"10, Cold room box 1"	14-12-2023	R39	1	4								0	"Yati, PW nest on twig, globular Paraleptomenes (?), blue cap box"	
"11, Cold room box 2"	"Labelled as ""Potter wasp Nests 2024"													
"11, Cold room box 2"	15-02-2023	R39	Multiple	2								3	"Observed on 17/1/23, someone broke 1 on nest, Adult Phimenes inside nest, ziplock cover sample"	
"11, Cold room box 2"	18-10-2023	N-1	Multiple	>7								4	"S-block, ziplock cover"	
"11, Cold room box 2"	01-03-2024	N2	Multiple	-								3	"BSSE Annexe, Phimenus nest, ziplock cover"	
"11, Cold room box 2"	01-03-2024	Nest 4	2	1				2				3	"PW nest Guest house, 1 adult wasp, 2 developing wasp ziplock cover"	
"11, Cold room box 2"	-	R40	1	3								2	"DOC unknown, PW nest, stored in lab, blue cap box, Previously unlabelled"	
"11, Cold room box 2"	31-08-2024	R41	1	3								2	"Lalbagh, Phimenes nest on plant, blue cap box, Previously unlabelled"	
"11, Cold room box 2"	15-02-2024	R42	2	2								3	"Organic chem, blue cap box, previously unlabelled"	Feb-24
"11, Cold room box 2"	13-03-2024	N-4	Multiple	-								4	"PD block, blue cap box"	Mar-24
"11, Cold room box 2"	05-03-2024	R42	Multiple	-								3	"IIHR entomol dept, no images, blue cap box, previously unlabelled"	
"11, Cold room box 2"	05-04-2024	N1	1	1								4	"Swimming pool, blue cap box"	Apr-24
"11, Cold room box 2"	13-05-2024	N-5	1	4								3	"Outside EE Wall, 2 cells, 2 exits, blue cap box"	May-24
"11, Cold room box 2"	18-05-2024	N-10	Multiple	-								4	"Pyriform, Rock near temple (baradi), blue cap box"	
"11, Cold room box 2"	13-05-2024	N-3	1	3								3	"Paraleptomenes, outside EE on pipe, 3 cells, 3 exits, blue cap box"	
"11, Cold room box 2"	05-06-2024	N1	1	1								2	"Near sarvam, open nest with 3 caterpillars + 4 silverfish, blue cap box"	Jun-24
"11, Cold room box 2"	26-06-2024	N-15	1	1								2	"Nandi temple, blue cap box"	
"11, Cold room box 2"	24-07-2024	N-30	3	1								3	"IAS, blue cap box"	Jul-24
"11, Cold room box 2"	24-07-2024	N-32	1	1								0	"IAS, Plant root, blue cap box"	
"11, Cold room box 2"	18-07-2024	N7	Multiple	1								3	"Near sankey road wall, blue cap box"	
"11, Cold room box 2"	24-07-2024	N-20	1	3								2	"IAS, blue cap box"	
"11, Cold room box 2"	24-07-2024	N-28	2	1								3	"IAS, blue cap box"	
"11, Cold room box 2"	24-07-2024	N-31	1	4								0	"IAS, plant root, blue cap box"	
"11, Cold room box 2"	24-07-2024	N-26	Multiple	2								3	"IAS, blue cap box"	
"11, Cold room box 2"	24-09-2024	R43	1	1								0	"NE quarted, IISC, blue cap box, previously labelled"	Jul-24
"11, Cold room box 2"	24-07-2024	N-15	3	3								3	"IAS, Phimenes flavopictus, blue cap box"	
"11, Cold room box 2"	23-07-2024	N-13	1	1								2	"Centre for sustainable technologies, blue cap box"	
"11, Cold room box 2"	23-07-2024	N-12	2	1				-				3	"Centre for sustainable technologies, blue cap box"	
"11, Cold room box 2"	19-09-2024	Nest 1	1	1								3	"BSNL office, blue cap box"	Sep-24
"11, Cold room box 2"	19-08-2024	Nest 1	1	2								2	"BSNL office, blue cap box"	
